PERMNO,date,TICKER,PRC,RET
10107,20140331,MSFT,40.99000,0.069956
10107,20140430,MSFT,40.40000,-0.014394
10107,20140530,MSFT,40.94000,0.020297
10107,20140630,MSFT,41.70000,0.018564
10107,20140731,MSFT,43.16000,0.035012
10107,20140829,MSFT,45.43000,0.059082
10107,20140930,MSFT,46.36000,0.020471
10107,20141031,MSFT,46.95000,0.012726
10107,20141128,MSFT,47.81000,0.024920
10107,20141231,MSFT,46.45000,-0.028446
10107,20150130,MSFT,40.40000,-0.130248
10107,20150227,MSFT,43.85000,0.093069
10107,20150331,MSFT,40.65500,-0.072862
10107,20150430,MSFT,48.64000,0.196409
10107,20150529,MSFT,46.86000,-0.030222
10107,20150630,MSFT,44.15000,-0.057832
10107,20150731,MSFT,46.70000,0.057758
10107,20150831,MSFT,43.52000,-0.061456
10107,20150930,MSFT,44.26000,0.017004
10107,20151030,MSFT,52.64000,0.189336
10107,20151130,MSFT,54.35000,0.039324
10107,20151231,MSFT,55.48000,0.020791
10107,20160129,MSFT,55.09000,-0.007030
10107,20160229,MSFT,50.88000,-0.069886
10107,20160331,MSFT,55.23000,0.085495
10107,20160429,MSFT,49.87000,-0.097049
10107,20160531,MSFT,53.00000,0.069982
10107,20160630,MSFT,51.17000,-0.034528
10107,20160729,MSFT,56.68000,0.107680
10107,20160831,MSFT,57.46000,0.020113
10107,20160930,MSFT,57.60000,0.002436
10107,20161031,MSFT,59.92000,0.040278
10107,20161130,MSFT,60.26000,0.012183
10107,20161230,MSFT,62.14000,0.031198
10107,20170131,MSFT,64.65000,0.040393
10107,20170228,MSFT,63.98000,-0.004331
10107,20170331,MSFT,65.86000,0.029384
10107,20170428,MSFT,68.46000,0.039478
10107,20170531,MSFT,69.84000,0.025854
10107,20170630,MSFT,68.93000,-0.013030
10107,20170731,MSFT,72.70000,0.054693
10107,20170831,MSFT,74.77000,0.033838
10107,20170929,MSFT,74.49000,-0.003745
10107,20171031,MSFT,83.18000,0.116660
10107,20171130,MSFT,84.17000,0.016951
10107,20171229,MSFT,85.54000,0.016277
